연번,호선,역번호,역명,경로,장애,유공자
181,6,2620,월드컵경기장,479804,69471,5587
182,6,2621,마포구청,544784,164540,6149
183,6,2622,망원,661533,124025,5357
184,6,2623,합정,288738,68147,4379
185,6,2624,상수,170527,28113,3068
186,6,2625,광흥창,366647,56161,5421
187,6,2626,대흥,347906,63224,5260
188,6,2627,공덕,580354,113608,8890
189,6,2628,효창공원앞,307429,63851,3596
190,6,2629,삼각지,117741,29508,5500
191,6,2630,녹사평,146312,30755,1493
192,6,2631,이태원,247133,45939,2575
193,6,2632,한강진,117536,31624,2086
194,6,2633,버티고개,122389,14720,1419
195,6,2634,약수,183945,31287,2033
196,6,2635,청구,155664,31967,1522
197,6,2636,신당,275262,58110,2884
198,6,2637,동묘앞,546469,113033,6265
199,6,2638,창신,146709,28594,1123
200,6,2639,보문,237842,49669,2991
201,6,2640,안암,262253,63494,2361
202,6,2641,고려대,254321,58439,3585
203,6,2642,월곡,583107,108840,6446
204,6,2643,상월곡,315682,60028,4331
205,6,2644,돌곶이,455768,91638,4272
206,6,2645,석계,592930,124866,8012
207,6,2646,태릉입구,225633,48454,3432
208,6,2647,화랑대,343065,80041,7458
209,6,2648,봉화산,376598,78480,8180
210,7,2711,장암,75087,17448,1994
211,7,2712,도봉산,357793,74005,7659
212,7,2713,수락산,718083,141049,10736
213,7,2714,마들,625738,130794,10449
214,7,2715,노원,864812,211182,11296
215,7,2716,중계,618777,206797,9666
216,7,2717,하계,746430,200486,8808
217,7,2718,공릉,517140,123821,6483
218,7,2719,태릉입구,320795,75958,4483
219,7,2720,먹골,482027,103875,5627
220,7,2721,중화,479370,128583,6515
221,7,2722,상봉,533126,133872,7324
222,7,2723,면목,731673,167233,6419
223,7,2724,사가정,770178,162712,7618
224,7,2725,용마산,263548,77353,2362
225,7,2726,중곡,419741,128928,4720
226,7,2727,군자,561100,127443,6169
227,7,2728,어린이대공원,283608,74220,4405
228,7,2729,건대입구,385784,94998,4681
229,7,2730,뚝섬유원지,322682,62496,2972
230,7,2731,청담,584439,90546,7244
231,7,2732,강남구청,364878,69475,4665
232,7,2733,학동,466251,92720,6775
233,7,2734,논현,408604,83530,5164
234,7,2735,반포,276901,32147,3032
235,7,2736,고속터미널,543504,96743,6939
236,7,2737,내방,526149,74616,7431
237,7,2738,이수,584193,102774,8060
238,7,2739,남성,541524,90578,5693
239,7,2740,숭실대입구,452267,73210,4845
240,7,2741,상도,438160,76099,3937
241,7,2742,장승배기,545280,105534,5664
242,7,2743,신대방삼거리,676798,136778,7974
243,7,2744,보라매,343824,74505,5086
244,7,2745,신풍,493320,98990,6305
245,7,2746,대림,254466,56002,2622
246,7,2747,남구로,438705,118425,5172
247,7,2748,가산디지털단지,585143,228028,12191
248,7,2749,철산,726089,167130,13757
249,7,2750,광명사거리,1165911,245166,12187
250,7,2751,천왕,395728,94389,9051
251,7,2752,온수,290878,77399,4937
252,7,2753,까치울,204989,53474,3027
253,7,2754,부천종합운동장,135653,39570,2093
254,7,2755,춘의,216195,88138,2652
255,7,2756,신중동,382181,106585,3687
256,7,2757,부천시청,372759,114606,3791
257,7,2758,상동,349750,95195,5509
258,7,2759,삼산체육관,165749,50997,1488
259,7,2760,굴포천,244482,69376,3225
260,7,2761,부평구청,211832,67780,4787
261,8,2811,암사,786677,163728,8826
262,8,2812,천호,645989,140791,10094
263,8,2813,강동구청,484444,93359,5429
264,8,2814,몽촌토성,250704,40925,2512
265,8,2815,잠실,492419,113408,6263
266,8,2816,석촌,380190,69442,5448
267,8,2817,송파,440375,65410,5263
268,8,2818,가락시장,513081,81645,6311
269,8,2819,문정,431388,99777,6904
270,8,2820,장지,543185,135437,9700
271,8,2821,복정,332606,75902,5628
272,8,2822,산성,285000,60460,3115
273,8,2823,남한산성입구,600218,136411,7592
274,8,2824,단대오거리,505520,131365,3339
275,8,2825,신흥,310474,77568,3021
276,8,2826,수진,335197,80489,2758
277,8,2827,모란,415945,85813,4157
