연번,호선,역번호,역명,경로,장애,유공자
1,1,150,서울역,1391862,422653,29653
2,1,151,시청,592974,145889,11317
3,1,152,종각,1062297,253125,18286
4,1,153,종로3가,2554908,434534,37296
5,1,154,종로5가,2183302,318621,23890
6,1,155,동대문,994364,210921,10462
7,1,156,신설동,957366,192788,11000
8,1,157,제기동,2419969,321039,18679
9,1,158,청량리,2395667,396489,25864
10,1,159,동묘앞,1225852,246929,15832
11,2,201,시청,391148,101352,8680
12,2,202,을지로입구,745018,185932,13906
13,2,203,을지로3가,592422,118096,10662
14,2,204,을지로4가,765718,121491,10909
15,2,205,동대문역사문화공원,413374,96448,4160
16,2,206,신당,781246,150706,9345
17,2,207,상왕십리,496526,111393,6178
18,2,208,왕십리,390936,111372,6540
19,2,209,한양대,98360,29197,2274
20,2,210,뚝섬,437477,116149,6317
21,2,211,성수,712902,284113,8864
22,2,212,건대입구,674740,177468,8893
23,2,213,구의,796590,182879,10834
24,2,214,강변,934647,185968,15838
25,2,215,잠실나루,638519,107491,8873
26,2,216,잠실,1314508,311605,27650
27,2,217,잠실새내,805936,119173,11244
28,2,218,종합운동장,290852,51502,4912
29,2,219,삼성,851475,197323,12571
30,2,220,선릉,1758463,307277,23430
31,2,221,역삼,1202887,266940,20288
32,2,222,강남,1328004,317520,21954
33,2,223,교대,1216036,189518,21245
34,2,224,서초,609240,101136,10617
35,2,225,방배,578231,95703,10719
36,2,226,사당,1407982,242293,20806
37,2,227,낙성대,833999,164891,12209
38,2,228,서울대입구,1472638,294329,24163
39,2,229,봉천,1109683,252395,13996
40,2,230,신림,1692153,420447,23502
41,2,231,신대방,948082,215664,11397
42,2,232,구로디지털단지,1228856,335899,21776
43,2,233,대림,867383,197185,9734
44,2,234,신도림,1436874,352770,25573
45,2,235,문래,592484,127752,8547
46,2,236,영등포구청,742672,201319,12121
47,2,237,당산,458536,113173,8335
48,2,238,합정,514073,127554,8697
49,2,239,홍대입구,707960,202604,12844
50,2,240,신촌,938397,214245,9756
51,2,241,이대,365086,75445,2620
52,2,242,아현,500324,97166,4689
53,2,243,충정로,361977,95036,5120
54,2,244,용답,142014,32113,1404
55,2,245,신답,79204,17986,330
56,2,246,신설동,260079,55550,2784
57,2,247,도림천,53396,12170,501
58,2,248,양천구청,344055,68660,3079
59,2,249,신정네거리,524275,106240,5545
60,2,250,용두,192308,36215,1748
61,3,309,지축,124307,25219,2318
62,3,310,구파발,884605,177034,12989
63,3,311,연신내,2103893,398776,19777
64,3,312,불광,1098115,179500,10343
65,3,313,녹번,554916,113833,8860
66,3,314,홍제,1155546,185931,7476
67,3,315,무악재,231241,38162,2274
68,3,316,독립문,577289,96451,4737
69,3,317,경복궁,628689,112982,10498
70,3,318,안국,594008,101844,9301
71,3,319,종로3가,446635,101565,5665
72,3,320,을지로3가,441465,72307,7356
73,3,322,동대입구,261188,49280,2618
74,3,323,약수,642915,123017,6108
75,3,324,금호,445902,61762,3105
76,3,325,옥수,469942,66052,2647
77,3,326,압구정,1043652,143061,9550
78,3,327,신사,577773,107979,7532
79,3,328,잠원,287745,29856,2055
80,3,329,고속터미널,1242393,223447,15228
81,3,330,교대,529055,81794,8326
82,3,331,남부터미널,894007,149522,14189
83,3,332,양재,1136328,194009,19275
84,3,333,매봉,460905,67077,6072
85,3,334,도곡,205962,27740,1396
86,3,335,대치,484462,52850,3941
87,3,336,학여울,116090,17293,953
88,3,337,대청,424436,93944,5756
89,3,338,일원,454542,81054,4560
90,3,339,수서,731928,208021,14364
91,3,340,가락시장,633319,87245,5165
92,3,341,경찰병원,324790,62124,3730
93,3,342,오금,218101,40264,2923
94,4,409,당고개,715313,161435,8927
95,4,410,상계,883200,227398,10402
96,4,411,노원,652944,182355,10044
97,4,412,창동,1540968,301810,22638
98,4,413,쌍문,1256086,257924,14933
99,4,414,수유,1517381,367591,19558
100,4,415,미아,892028,199244,8408
101,4,416,미아사거리,1419050,320507,14369
102,4,417,길음,890206,161689,9631
103,4,418,성신여대입구,667333,138759,8007
104,4,419,한성대입구,574212,104294,6159
105,4,420,혜화,918327,250397,13140
106,4,421,동대문,1203952,236949,11892
107,4,422,동대문역사문화공원,419190,109495,7716
108,4,423,충무로,922330,206205,16520
109,4,424,명동,420797,108374,6494
110,4,425,회현,1369531,192242,9767
111,4,426,서울역,277529,82601,5526
112,4,427,숙대입구,390162,102035,4981
113,4,428,삼각지,182553,40074,4849
114,4,429,신용산,357887,101032,8595
115,4,430,이촌,339996,45587,4042
116,4,431,동작,204954,22601,3550
117,4,432,총신대입구,1198382,166008,14279
118,4,433,사당,656763,117879,13421
119,4,434,남태령,68596,10974,918
120,5,2511,방화,372976,97681,3524
121,5,2512,개화산,256355,82359,4017
122,5,2513,김포공항,209221,65592,3570
123,5,2514,송정,396602,76894,4653
124,5,2515,마곡,246768,71535,6318
125,5,2516,발산,613553,176977,6952
126,5,2517,우장산,681623,114604,7005
127,5,2518,화곡,1089105,258836,11597
128,5,2519,까치산,1198748,272260,11827
129,5,2520,신정,447270,113960,9325
130,5,2521,목동,644336,131524,9837
131,5,2522,오목교,632457,142574,8242
132,5,2523,양평,222756,50302,2109
133,5,2524,영등포구청,155763,36610,1832
134,5,2525,영등포시장,497446,101136,5931
135,5,2526,신길,84989,24354,939
136,5,2527,여의도,367759,100765,10473
137,5,2528,여의나루,201147,42381,2287
138,5,2529,마포,482002,85806,8580
139,5,2530,공덕,328991,77675,5377
140,5,2531,애오개,283063,59490,2558
141,5,2532,충정로,110331,29817,1566
142,5,2533,서대문,476742,112581,21694
143,5,2534,광화문,573830,154677,13824
144,5,2535,종로3가,768817,122480,13565
145,5,2536,을지로4가,381968,56193,4977
146,5,2537,동대문역사문화공원,68843,15999,1171
147,5,2538,청구,211213,40686,2079
148,5,2539,신금호,284686,58283,2114
149,5,2540,행당,384873,72412,5123
150,5,2541,왕십리,176547,46457,2738
151,5,2542,마장,312152,61042,5642
152,5,2543,답십리,612515,138599,8383
153,5,2544,장한평,669460,155429,9817
154,5,2545,군자,283090,84170,5040
155,5,2546,아차산,760116,153717,10663
156,5,2547,광나루,544310,80898,7507
157,5,2548,천호,953496,183057,32211
158,5,2549,강동,800006,163208,14387
159,5,2550,길동,505025,94800,4735
160,5,2551,굽은다리,497362,98390,7108
161,5,2552,명일,469139,84807,5464
162,5,2553,고덕,431665,78500,3226
163,5,2554,상일동,687975,132279,13310
164,5,2555,둔촌동,473135,80044,5294
165,5,2556,올림픽공원,250148,32063,3941
166,5,2557,방이,350726,54135,3634
167,5,2558,오금,151686,28003,1965
168,5,2559,개롱,341282,61994,2454
169,5,2560,거여,415138,92470,5676
170,5,2561,마천,397142,82079,5047
171,5,2563,미사,149882,31298,3996
172,5,2564,하남풍산,73809,16589,959
173,6,2611,응암,897816,190373,8211
174,6,2612,역촌,261547,50986,2098
175,6,2613,불광,324281,63250,2869
176,6,2614,독바위,160041,28372,1136
177,6,2616,구산,378453,72950,2993
178,6,2617,새절,672080,136035,8271
179,6,2618,증산,556869,119651,5732
180,6,2619,디지털미디어시티,406664,95197,7440
