연번,호선,역번호,역명,경로,장애,유공자
245,7,2743,신대방삼거리,728325,132913,8700
246,7,2744,보라매,349828,71184,4555
247,7,2745,신풍,567493,103639,6813
248,7,2746,대림(구로구청),289777,60044,2520
249,7,2747,남구로,475010,122187,6153
250,7,2748,가산디지털단지,664754,229733,12387
251,7,2749,철산,778793,165275,12795
252,7,2750,광명사거리,1233845,232201,10403
253,7,2751,천왕,439564,95567,9159
254,7,2752,온수(성공회대입구),310237,78587,4847
255,7,2753,까치울,248458,56531,3524
256,7,2754,부천종합운동장,163113,43066,3112
257,7,2755,춘의,241388,89816,2623
258,7,2756,신중동,419217,107385,3738
259,7,2757,부천시청,427182,118359,3917
260,7,2758,상동,390306,97270,4976
261,7,2759,삼산체육관,209786,56217,2403
262,7,2760,굴포천,283284,72564,2549
263,7,2761,부평구청,220252,62634,4964
264,8,2811,암사,876633,161682,9127
265,8,2812,천호(풍납토성),653507,124704,7491
266,8,2813,강동구청,527432,85612,5280
267,8,2814,몽촌토성(평화의문),273519,44353,2466
268,8,2815,잠실(송파구청),531141,111211,5725
269,8,2816,석촌,407321,67474,4943
270,8,2817,송파,453214,60910,5510
271,8,2818,가락시장,525667,75108,6276
272,8,2819,문정,454496,98300,6240
273,8,2820,장지,606606,135750,8783
274,8,2821,복정,370027,80973,5505
275,8,2822,산성,298976,49335,3397
276,8,2823,남한산성입구(성남법원.검찰청),651239,139509,6359
277,8,2824,단대오거리,562345,133288,4211
278,8,2825,신흥,306458,73008,2452
279,8,2826,수진,339066,77884,2871
280,8,2827,모란,443197,85920,4251
281,8,2828,남위례,6178,1202,76
