연번,호선,역번호,역명,경로,장애,유공자
1,1,150,서울역,1960487,593788,47379
2,1,151,시청,953448,226423,19220
3,1,152,종각,1498456,350490,27428
4,1,153,종로3가,3755786,606567,64739
5,1,154,종로5가,2760605,428839,33811
6,1,155,동대문,1303227,286572,15091
7,1,156,신설동,1182020,252949,16538
8,1,157,제기동,3532050,439436,29509
9,1,158,청량리(서울시립대입구),3282323,540005,36932
10,1,159,동묘앞,1402166,296813,20281
11,2,201,시청,570732,135420,11486
12,2,202,을지로입구,1104053,255241,20620
13,2,203,을지로3가,881142,166862,15473
14,2,204,을지로4가,925102,161012,12548
15,2,205,동대문역사문화공원,575220,141463,6859
16,2,206,신당,1017694,201999,12628
17,2,207,상왕십리,656452,146913,7119
18,2,208,왕십리(성동구청),539212,161953,10371
19,2,209,한양대,139474,44470,3502
20,2,210,뚝섬,587938,160681,9438
21,2,211,성수,877672,339239,12711
22,2,212,건대입구,883905,249731,13154
23,2,213,구의(광진구청),1011768,239948,14403
24,2,214,강변(동서울터미널),1428054,288869,24759
25,2,215,잠실나루,914331,152797,14038
26,2,216,잠실(송파구청),2250342,473527,75843
27,2,217,잠실새내,1232954,189180,18607
28,2,218,종합운동장,562650,108147,9907
29,2,219,삼성(무역센터),1207525,289161,21659
30,2,220,선릉,2120884,384849,31953
31,2,221,역삼,1448863,337597,25908
32,2,222,강남,1610342,425379,32773
33,2,223,교대(법원.검찰청),1685907,261368,27785
34,2,224,서초,880538,149731,15928
35,2,225,방배,825676,135581,15478
36,2,226,사당,2072221,350111,33659
37,2,227,낙성대,1092272,229145,15609
38,2,228,서울대입구(관악구청),2022875,408349,33176
39,2,229,봉천,1440559,333285,15749
40,2,230,신림,2289648,555845,33134
41,2,231,신대방,1263585,298248,15074
42,2,232,구로디지털단지,1580457,441996,32499
43,2,233,대림(구로구청),1109975,254614,12898
44,2,234,신도림,2011282,487012,37395
45,2,235,문래,835371,166631,11878
46,2,236,영등포구청,972187,250293,16793
47,2,237,당산,645137,156975,11044
48,2,238,합정,689703,178462,11166
49,2,239,홍대입구,1041880,302889,18980
50,2,240,신촌,1360039,307716,15468
51,2,241,이대,647904,114398,5101
52,2,242,아현,643115,127856,5516
53,2,243,충정로(경기대입구),501860,125547,6475
54,2,244,용답,159164,41976,1567
55,2,245,신답,101117,23048,867
56,2,246,신설동,362910,77213,4895
57,2,247,도림천,65798,14106,468
58,2,248,양천구청,444742,84669,4398
59,2,249,신정네거리,635879,134940,6980
60,2,250,용두(동대문구청),233616,48687,1705
61,3,309,지축,106490,20103,572
62,3,310,구파발,1032427,205320,17097
63,3,311,연신내,2685403,516051,28505
64,3,312,불광,1528752,253197,14975
65,3,313,녹번,630103,134527,8879
66,3,314,홍제,1525261,243616,11878
67,3,315,무악재,313928,55193,3419
68,3,316,독립문,753939,122780,6229
69,3,317,경복궁(정부서울청사),909326,181161,16040
70,3,318,안국,1288284,169709,17573
71,3,319,종로3가,578489,133348,8580
72,3,320,을지로3가,604456,95749,9758
73,3,322,동대입구,382045,64976,4744
74,3,323,약수,858504,162844,9204
75,3,324,금호,589380,89000,4695
76,3,325,옥수,634631,88875,3937
77,3,326,압구정,1559080,196021,14427
78,3,327,신사,740330,142368,9196
79,3,328,잠원,396671,43441,2735
80,3,329,고속터미널,1952065,329031,23840
81,3,330,교대(법원.검찰청),724823,111318,12612
82,3,331,남부터미널(예술의전당),1305796,218452,23073
83,3,332,양재(서초구청),1693188,263766,25242
84,3,333,매봉,592481,87121,6596
85,3,334,도곡,295738,38976,2781
86,3,335,대치,664285,75762,5988
87,3,336,학여울,163842,25956,1777
88,3,337,대청,513433,117843,7773
89,3,338,일원,597485,112397,6447
90,3,339,수서,927097,264076,19562
91,3,340,가락시장,779386,112954,8933
92,3,341,경찰병원,405510,74970,5259
93,3,342,오금,293737,57767,4156
94,4,409,당고개,912825,206582,11496
95,4,410,상계,1097287,296197,13817
96,4,411,노원,865798,244099,13091
97,4,412,창동,1880622,387912,53347
98,4,413,쌍문,1646043,349620,21766
99,4,414,수유(강북구청),2011755,495089,26862
100,4,415,미아(서울사이버대학),1142320,277090,11257
101,4,416,미아사거리,1760736,393236,17275
102,4,417,길음,1254758,233857,13419
103,4,418,성신여대입구(돈암),919888,191796,11706
