연번,호선,역번호,역명,경로,장애,유공자
104,4,419,한성대입구(삼선교),793605,136422,9427
105,4,420,혜화,1248470,338864,17632
106,4,421,동대문,1504435,312227,17093
107,4,422,동대문역사문화공원,577640,152668,9229
108,4,423,충무로,1234580,280320,22430
109,4,424,명동,687095,182459,12186
110,4,425,회현(남대문시장),2181299,299045,14709
111,4,426,서울역,368260,123776,7481
112,4,427,숙대입구(갈월),531691,146052,8098
113,4,428,삼각지,267854,62749,7671
114,4,429,신용산,469615,123767,12532
115,4,430,이촌(국립중앙박물관),492857,69925,6508
116,4,431,동작(현충원),224695,23184,3641
117,4,432,총신대입구(이수),1553698,223796,18212
118,4,433,사당,928620,175228,19540
119,4,434,남태령,104786,19657,1689
120,5,2511,방화,452957,125315,3916
121,5,2512,개화산,312678,109746,3963
122,5,2513,김포공항,295763,83591,5086
123,5,2514,송정,597812,113734,9505
124,5,2515,마곡,241282,79167,7915
125,5,2516,발산,634172,205701,9704
126,5,2517,우장산,835255,154079,10027
127,5,2518,화곡,1366196,342908,16880
128,5,2519,까치산,1494445,345454,16602
129,5,2520,신정(은행정),574710,152651,10878
130,5,2521,목동,822818,180261,13923
131,5,2522,오목교(목동운동장앞),810821,192800,12505
132,5,2523,양평,275237,63427,3139
133,5,2524,영등포구청,193698,44128,2899
134,5,2525,영등포시장,774886,153387,8478
135,5,2526,신길,109386,32149,2383
136,5,2527,여의도,481143,133691,15620
137,5,2528,여의나루,282643,68855,4725
138,5,2529,마포,654570,112231,11057
139,5,2530,공덕,431923,103956,9362
140,5,2531,애오개,378644,89727,4012
141,5,2532,충정로(경기대입구),156996,37492,2015
142,5,2533,서대문,666461,143261,29412
143,5,2534,광화문(세종문화회관),800798,209867,21515
144,5,2535,종로3가,1231183,184291,24474
145,5,2536,을지로4가,427473,69837,7370
146,5,2537,동대문역사문화공원,92290,21117,1380
147,5,2538,청구,272329,52459,3329
148,5,2539,신금호,370566,77489,4576
149,5,2540,행당,491819,87399,5594
150,5,2541,왕십리(성동구청),242641,68127,3908
151,5,2542,마장,446542,75438,7435
152,5,2543,답십리,806612,192994,11661
153,5,2544,장한평,918405,212061,12642
154,5,2545,군자(능동),348032,113332,7643
155,5,2546,아차산(어린이대공원후문),920235,195118,13101
156,5,2547,광나루(장신대),689903,111448,11748
157,5,2548,천호(풍납토성),1411139,263994,91219
158,5,2549,강동,985428,210633,20886
159,5,2550,길동,640284,117809,5991
160,5,2551,굽은다리(강동구민회관앞),634357,136736,10158
161,5,2552,명일,625844,107939,5303
162,5,2553,고덕,632799,115767,6012
163,5,2554,상일동,621324,146727,17966
164,5,2555,둔촌동,654922,117976,12111
165,5,2556,올림픽공원(한국체대),363520,46942,4205
166,5,2557,방이,448675,76134,5088
167,5,2558,오금,174357,37697,2409
168,5,2559,개롱,446826,90128,3861
169,5,2560,거여,505155,119249,5868
170,5,2561,마천,459367,108542,5316
171,6,2611,응암,1109012,242308,12013
172,6,2612,역촌,358525,67237,3324
173,6,2613,불광,426515,84781,3951
174,6,2614,독바위,210025,37090,1353
175,6,2616,구산,557898,103356,3780
176,6,2617,새절(신사),861423,165927,9952
177,6,2618,증산(명지대앞),693421,153541,7226
178,6,2619,디지털미디어시티,520104,122330,9297
179,6,2620,월드컵경기장(성산),585319,97526,6575
180,6,2621,마포구청,738790,218902,8873
181,6,2622,망원,831881,155509,7570
182,6,2623,합정,403206,96253,5380
183,6,2624,상수,226030,42791,3789
184,6,2625,광흥창(서강),598495,85971,8234
185,6,2626,대흥(서강대앞),470491,91942,5596
186,6,2627,공덕,715849,149225,11754
187,6,2628,효창공원앞,406270,79630,4474
188,6,2629,삼각지,173408,39367,8192
189,6,2630,녹사평(용산구청),199957,40848,2632
190,6,2631,이태원,338565,78619,5680
191,6,2632,한강진,140856,38405,2151
192,6,2633,버티고개,156907,20674,1312
193,6,2634,약수,240436,43182,2508
194,6,2635,청구,189724,41770,2287
195,6,2636,신당,381956,87961,4651
196,6,2637,동묘앞,665558,142233,9497
197,6,2638,창신,179998,32558,2226
198,6,2639,보문,332288,68762,4095
199,6,2640,안암(고대병원앞),326980,78537,3128
200,6,2641,고려대(종암),347354,75617,4651
201,6,2642,월곡(동덕여대),754912,144090,9164
202,6,2643,상월곡(한국과학기술연구원),404037,84289,6554
203,6,2644,돌곶이,616174,118654,6691
204,6,2645,석계,747164,157291,10452
205,6,2646,태릉입구,278041,65957,4167
206,6,2647,화랑대(서울여대입구),450151,104690,9108
207,6,2648,봉화산(서울의료원),519475,112850,11938
208,7,2711,장암,80851,20834,2094
209,7,2712,도봉산,397427,91555,9482
210,7,2713,수락산,874504,178082,16965
211,7,2714,마들,750731,155292,13787
212,7,2715,노원,1121220,270692,18130
213,7,2716,중계,805275,288226,30116
214,7,2717,하계,1008064,271174,14086
215,7,2718,공릉(서울과학기술대),638148,163986,9462
216,7,2719,태릉입구,392608,99696,6328
217,7,2720,먹골,590917,138934,9770
218,7,2721,중화,582241,159000,8951
219,7,2722,상봉(시외버스터미널),672920,177933,13177
220,7,2723,면목,833026,206199,9371
221,7,2724,사가정,921474,200351,11553
222,7,2725,용마산,324869,97562,3002
223,7,2726,중곡,548284,172663,7407
224,7,2727,군자(능동),761540,168315,8950
225,7,2728,어린이대공원(세종대),415105,110971,5536
226,7,2729,건대입구,530351,138307,7790
227,7,2730,뚝섬유원지,415441,84641,4423
228,7,2731,청담,760568,116886,10754
229,7,2732,강남구청,466307,95935,6216
230,7,2733,학동,595342,117896,8972
231,7,2734,논현,513943,107972,7376
232,7,2735,반포,350707,47424,2997
233,7,2736,고속터미널,814952,149523,11275
234,7,2737,내방,675500,97332,10302
235,7,2738,이수,796658,138192,10819
236,7,2739,남성,727035,120099,9477
237,7,2740,숭실대입구(살피재),614379,104286,7724
238,7,2741,상도,598385,104991,6169
239,7,2742,장승배기,776270,140239,9390
240,7,2743,신대방삼거리,929160,175387,11250
241,7,2744,보라매,418064,95437,8003
242,7,2745,신풍,664389,137633,10800
243,7,2746,대림(구로구청),353085,85323,3611
244,7,2747,남구로,553316,153096,7348
245,7,2748,가산디지털단지,690700,262582,14672
246,7,2749,철산,935362,221708,20297
247,7,2750,광명사거리,1453389,328772,16107
248,7,2751,천왕,445477,111803,10244
249,7,2752,온수(성공회대입구),333776,92736,7174
250,7,2753,까치울,243612,68179,4671
251,7,2754,부천종합운동장,166024,57335,3627
252,7,2755,춘의,244358,105293,3484
253,7,2756,신중동,481522,135983,6120
254,7,2757,부천시청,449376,137209,6067
255,7,2758,상동,447072,135994,7270
256,7,2759,삼산체육관,229443,68192,3203
257,7,2760,굴포천,316415,92404,5000
258,7,2761,부평구청,278292,89958,6267
259,8,2811,암사,925398,202874,11403
260,8,2812,천호(풍납토성),901341,205881,28546
261,8,2813,강동구청,623493,131603,7861
262,8,2814,몽촌토성(평화의문),445219,71764,4815
263,8,2815,잠실(송파구청),668034,145562,10793
264,8,2816,석촌,609710,112063,7714
265,8,2817,송파,356141,71873,4450
266,8,2818,가락시장,554845,96312,6484
267,8,2819,문정,474996,117728,6929
268,8,2820,장지,666465,180066,13625
269,8,2821,복정,460119,104492,10126
270,8,2822,산성,319624,78603,3787
271,8,2823,남한산성입구(성남법원.검찰청),723855,170239,9155
272,8,2824,단대오거리,614993,172036,4541
273,8,2825,신흥,402273,99515,3560
274,8,2826,수진,445481,108561,2701
275,8,2827,모란,518937,111089,5243
