연번,호선,역번호,역명,경로,장애,유공자
1,1,150,서울역,2091960,590159,62324
2,1,151,시청,1118281,237822,25435
3,1,152,종각,1653008,357227,33775
4,1,153,종로3가,3972545,607798,66278
5,1,154,종로5가,2926950,430773,36687
6,1,155,동대문,1366758,280563,16416
7,1,156,신설동,1231602,254227,15959
8,1,157,제기동,3566296,446438,30965
9,1,158,청량리(서울시립대입구),3330151,519538,41992
10,1,159,동묘앞,1512766,303865,21589
11,2,201,시청,633637,140855,12841
12,2,202,을지로입구,1191618,247865,22783
13,2,203,을지로3가,917508,168174,16008
14,2,204,을지로4가,934218,149792,13067
15,2,205,동대문역사문화공원,593740,137833,7564
16,2,206,신당,1044093,196234,13028
17,2,207,상왕십리,682549,150878,8042
18,2,208,왕십리(성동구청),569507,157743,11064
19,2,209,한양대,137457,44020,4919
20,2,210,뚝섬,606921,154667,9968
21,2,211,성수,933634,351375,12749
22,2,212,건대입구,938319,242343,13438
23,2,213,구의(광진구청),1077707,245286,15953
24,2,214,강변(동서울터미널),1481932,282963,28159
25,2,215,잠실나루,944555,146385,16066
26,2,216,잠실(송파구청),2145391,451972,47798
27,2,217,잠실새내,1197155,169037,17087
28,2,218,종합운동장,567511,96988,10154
29,2,219,삼성(무역센터),1230376,283819,21439
30,2,220,선릉,2258915,398091,33934
31,2,221,역삼,1625651,360912,27547
32,2,222,강남,1732630,423405,35014
33,2,223,교대(법원.검찰청),1765855,259304,28524
34,2,224,서초,966641,151556,15625
35,2,225,방배,864675,131906,15246
36,2,226,사당,2241971,359922,36083
37,2,227,낙성대,1160605,230209,17464
38,2,228,서울대입구(관악구청),2069594,397336,33886
39,2,229,봉천,1562808,337292,17925
40,2,230,신림,2433535,570098,33535
41,2,231,신대방,1325809,302234,16269
42,2,232,구로디지털단지,1735515,462315,32959
43,2,233,대림(구로구청),1191205,262355,12818
44,2,234,신도림,2157517,493901,40322
45,2,235,문래,877740,168953,12835
46,2,236,영등포구청,1010771,254069,18674
47,2,237,당산,686046,160312,12020
48,2,238,합정,729344,172914,13305
49,2,239,홍대입구,1062950,299210,22057
50,2,240,신촌,1413998,305137,18271
51,2,241,이대,640348,118995,4953
52,2,242,아현,669873,133595,5881
53,2,243,충정로(경기대입구),502654,121701,6243
54,2,244,용답,173938,40062,1702
55,2,245,신답,101958,22913,647
56,2,246,신설동,371165,78479,5585
57,2,247,도림천,71898,14527,817
58,2,248,양천구청,491892,90581,4714
59,2,249,신정네거리,703147,139518,7529
60,2,250,용두(동대문구청),242778,49614,2102
61,3,309,지축,109672,18856,1343
62,3,310,구파발,1187403,224792,17964
63,3,311,연신내,2858251,518170,28626
64,3,312,불광,1587198,248597,15432
65,3,313,녹번,715990,142995,10617
66,3,314,홍제,1571608,240106,12097
67,3,315,무악재,331570,51541,3649
68,3,316,독립문,816595,129911,7492
69,3,317,경복궁(정부서울청사),1108767,189895,19742
70,3,318,안국,1105577,157542,15087
71,3,319,종로3가,642898,136443,10134
72,3,320,을지로3가,621252,93638,9668
73,3,322,동대입구,408285,68743,5347
74,3,323,약수,899101,160586,9207
75,3,324,금호,611989,84319,4743
76,3,325,옥수,656262,88809,3906
77,3,326,압구정,1635587,196144,14481
78,3,327,신사,774247,139564,10241
79,3,328,잠원,429395,45372,3279
80,3,329,고속터미널,2069335,326361,29255
81,3,330,교대(법원.검찰청),780059,113229,13111
82,3,331,남부터미널(예술의전당),1345592,215581,24982
83,3,332,양재(서초구청),1804310,267226,26044
84,3,333,매봉,642932,89508,7458
85,3,334,도곡,301049,34861,2967
86,3,335,대치,702975,72570,6649
87,3,336,학여울,173101,28399,1990
88,3,337,대청,567218,128631,8756
89,3,338,일원,667511,121462,9504
90,3,339,수서,1017771,271585,23317
91,3,340,가락시장,826831,113195,9681
92,3,341,경찰병원,445131,81290,4695
93,3,342,오금,301887,55468,4668
94,4,409,당고개,957715,212038,11613
95,4,410,상계,1154333,300548,15115
96,4,411,노원,908412,245655,13810
97,4,412,창동,2021031,396829,50744
98,4,413,쌍문,1730143,350588,21868
99,4,414,수유(강북구청),2074955,496421,27876
100,4,415,미아(서울사이버대학),1201605,276750,12249
101,4,416,미아사거리,1879329,411183,18009
102,4,417,길음,1290682,229920,14063
103,4,418,성신여대입구(돈암),950875,192633,11522
104,4,419,한성대입구(삼선교),814958,140988,9260
105,4,420,혜화,1323625,348547,24063
106,4,421,동대문,1575466,306725,18840
107,4,422,동대문역사문화공원,612751,158088,11603
108,4,423,충무로,1289895,272164,23795
109,4,424,명동,724896,175259,13875
110,4,425,회현(남대문시장),2251765,293661,16221
111,4,426,서울역,387362,116299,8449
112,4,427,숙대입구(갈월),550494,144999,8570
113,4,428,삼각지,272588,59438,8189
114,4,429,신용산,493723,132451,14688
115,4,430,이촌(국립중앙박물관),526173,67942,7395
116,4,431,동작(현충원),235646,25659,4117
117,4,432,총신대입구(이수),1660733,223984,19071
118,4,433,사당,1005701,175972,21665
119,4,434,남태령,91292,15602,1609
120,5,2511,방화,484776,128942,4438
121,5,2512,개화산,336217,106345,5076
122,5,2513,김포공항,309172,87936,6078
123,5,2514,송정,623317,112905,8606
124,5,2515,마곡,260161,73699,7456
125,5,2516,발산,789262,227968,10779
126,5,2517,우장산,945107,156898,10711
127,5,2518,화곡,1451661,340044,16988
128,5,2519,까치산,1587537,349080,17511
129,5,2520,신정(은행정),538835,142862,10534
130,5,2521,목동,886803,182299,13808
131,5,2522,오목교(목동운동장앞),864948,193671,12633
132,5,2523,양평,288318,62527,3404
133,5,2524,영등포구청,199559,44167,2625
134,5,2525,영등포시장,823606,151274,9163
135,5,2526,신길,107252,32815,2451
136,5,2527,여의도,507196,128381,15758
137,5,2528,여의나루,297347,69155,5155
138,5,2529,마포,675924,109351,11358
139,5,2530,공덕,465423,101502,9505
140,5,2531,애오개,407362,89274,3899
141,5,2532,충정로(경기대입구),157787,40691,2115
142,5,2533,서대문,703536,150109,29579
143,5,2534,광화문(세종문화회관),1055158,235125,26516
144,5,2535,종로3가,1255138,181806,24870
145,5,2536,을지로4가,444959,67967,7262
146,5,2537,동대문역사문화공원,84971,18898,821
147,5,2538,청구,285518,51298,2923
148,5,2539,신금호,393724,81362,4078
149,5,2540,행당,517541,90358,6537
150,5,2541,왕십리(성동구청),256751,65904,4512
151,5,2542,마장,469181,77505,7253
152,5,2543,답십리,825609,185116,11059
153,5,2544,장한평,969223,219332,14747
154,5,2545,군자(능동),377103,114939,7430
155,5,2546,아차산(어린이대공원후문),974214,197290,14453
156,5,2547,광나루(장신대),732831,111420,12405
157,5,2548,천호(풍납토성),1396656,262142,55719
158,5,2549,강동,1087601,219101,20796
159,5,2550,길동,677631,119112,6652
160,5,2551,굽은다리(강동구민회관앞),683231,136046,10045
161,5,2552,명일,671742,115173,6089
162,5,2553,고덕,694545,119300,5411
163,5,2554,상일동,709634,154535,18036
164,5,2555,둔촌동,651847,113367,7999
165,5,2556,올림픽공원(한국체대),360433,43090,4438
166,5,2557,방이,496916,78626,5444
167,5,2558,오금,192895,37842,2413
168,5,2559,개롱,485144,97805,4129
169,5,2560,거여,561702,132588,7822
170,5,2561,마천,496315,111050,6502
171,6,2611,응암,1174204,243547,12530
172,6,2612,역촌,378004,70250,3277
173,6,2613,불광,434944,82067,4058
174,6,2614,독바위,217837,36122,1694
175,6,2616,구산,567965,102807,4376
176,6,2617,새절(신사),916028,175106,11285
177,6,2618,증산(명지대앞),728026,155651,7735
178,6,2619,디지털미디어시티,543274,121444,9855
179,6,2620,월드컵경기장(성산),611062,99430,6967
180,6,2621,마포구청,784298,229612,9654
181,6,2622,망원,881316,158320,8052
182,6,2623,합정,429902,95304,6105
183,6,2624,상수,234594,41335,4271
184,6,2625,광흥창(서강),617413,84036,8423
185,6,2626,대흥(서강대앞),509912,89951,6144
186,6,2627,공덕,761679,149219,12306
187,6,2628,효창공원앞,423483,83234,4791
188,6,2629,삼각지,174796,39591,9034
189,6,2630,녹사평(용산구청),203425,40202,2896
190,6,2631,이태원,346958,75475,4679
191,6,2632,한강진,153453,43245,3078
192,6,2633,버티고개,162481,18708,1724
193,6,2634,약수,265552,44424,2419
194,6,2635,청구,198007,40274,2019
195,6,2636,신당,399120,83420,5154
196,6,2637,동묘앞,712437,148617,9742
197,6,2638,창신,193682,35237,1834
198,6,2639,보문,335848,68279,4164
199,6,2640,안암(고대병원앞),357750,83496,3939
200,6,2641,고려대(종암),363790,81263,4972
201,6,2642,월곡(동덕여대),802752,144585,9302
202,6,2643,상월곡(한국과학기술연구원),433321,88174,7023
203,6,2644,돌곶이,603197,115433,6255
204,6,2645,석계,800015,162042,10256
205,6,2646,태릉입구,312951,69279,4250
206,6,2647,화랑대(서울여대입구),480809,107502,10441
207,6,2648,봉화산(서울의료원),546407,113597,11560
208,7,2711,장암,88631,20654,1958
209,7,2712,도봉산,429864,96023,9517
210,7,2713,수락산,926088,185867,15982
211,7,2714,마들,814248,159073,13703
212,7,2715,노원,1170685,282089,17696
213,7,2716,중계,869297,298342,30652
214,7,2717,하계,1057865,276454,13848
215,7,2718,공릉(서울과학기술대),684711,168483,10362
216,7,2719,태릉입구,430272,104273,6653
217,7,2720,먹골,628798,133747,9872
218,7,2721,중화,629687,167505,8689
219,7,2722,상봉(시외버스터미널),705709,180945,11979
220,7,2723,면목,928804,212867,9762
221,7,2724,사가정,994880,204633,11235
222,7,2725,용마산,344228,98131,3367
223,7,2726,중곡,574097,177818,7551
224,7,2727,군자(능동),803993,176573,10464
225,7,2728,어린이대공원(세종대),424333,109158,6424
226,7,2729,건대입구,567082,140041,8084
227,7,2730,뚝섬유원지,435756,85545,4910
228,7,2731,청담,789519,117637,10160
229,7,2732,강남구청,484686,90467,7544
230,7,2733,학동,615388,116271,8472
231,7,2734,논현,521598,104088,7509
232,7,2735,반포,381002,46601,3458
233,7,2736,고속터미널,882633,148165,13073
234,7,2737,내방,721119,98250,10446
235,7,2738,이수,835931,141634,12077
236,7,2739,남성,767218,125538,9376
237,7,2740,숭실대입구(살피재),648851,107740,7517
238,7,2741,상도,630789,107583,6274
239,7,2742,장승배기,787779,138392,10018
240,7,2743,신대방삼거리,974758,178230,10534
241,7,2744,보라매,456816,99872,7526
242,7,2745,신풍,692413,139471,10116
243,7,2746,대림(구로구청),368378,84993,4155
244,7,2747,남구로,589085,153179,7653
245,7,2748,가산디지털단지,669017,263109,16552
246,7,2749,철산,1006456,225085,20323
247,7,2750,광명사거리,1547436,325190,18170
248,7,2751,천왕,495056,122775,11507
249,7,2752,온수(성공회대입구),363804,100329,7239
250,7,2753,까치울,275824,72920,5167
