연번,호선,역번호,역명,경로,장애,유공자
251,7,2754,부천종합운동장,182133,56886,3868
252,7,2755,춘의,277205,106425,4078
253,7,2756,신중동,550221,141450,7364
254,7,2757,부천시청,493740,147751,7029
255,7,2758,상동,496449,138868,8680
256,7,2759,삼산체육관,254413,73870,3452
257,7,2760,굴포천,346388,95770,5873
258,7,2761,부평구청,295501,90700,6997
259,8,2811,암사,1002078,211607,12524
260,8,2812,천호(풍납토성),915020,200754,19520
261,8,2813,강동구청,659814,129844,7914
262,8,2814,몽촌토성(평화의문),386449,60084,4244
263,8,2815,잠실(송파구청),731430,154176,10948
264,8,2816,석촌,549458,96892,7633
265,8,2817,송파,605421,90625,7100
266,8,2818,가락시장,618610,101418,8334
267,8,2819,문정,541887,129273,8813
268,8,2820,장지,741629,184335,13726
269,8,2821,복정,486905,105811,9523
270,8,2822,산성,334663,77567,3708
271,8,2823,남한산성입구(성남법원.검찰청),769622,172685,10112
272,8,2824,단대오거리,656667,173986,5087
273,8,2825,신흥,424513,105959,4416
274,8,2826,수진,492646,113934,3835
275,8,2827,모란,541359,112723,6928
